timestamp,window,app,button,left,right,middle
2025-05-07 15:44:31,Autodesk AutoCAD 2023 - [Drawing1.dwg],AutoCAD,Button.left,37,0,0
2025-05-07 15:44:34,Autodesk AutoCAD 2023 - [Drawing1.dwg],AutoCAD,Button.left,38,0,0
2025-05-07 15:44:36,Autodesk Revit 2025.4 - [專案0414.rvt - 樓板平面圖: FL1],Revit,Button.left,13,8,0
2025-05-07 15:44:52,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,39,0,0
2025-05-07 15:44:53,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,40,0,0
2025-05-07 15:44:55,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,41,0,0
2025-05-07 15:45:26,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,42,0,0
2025-05-07 15:45:28,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,43,0,0
2025-05-07 15:45:29,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,44,0,0
2025-05-07 15:47:59,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,45,0,0
2025-05-07 15:48:01,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,46,0,0
2025-05-07 15:50:35,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,47,0,0
2025-05-07 15:50:36,AutoCAD & Revit 滑鼠點擊統計工具下載 - Avast Secure Browser,AutoCAD,Button.left,48,0,0
